website,name_of_meal,nutrition_values,preptime,attributes,allergens,ingredients,description
greenchef,Garlic Honey Chicken,Calories 630kcal Fat 30g Saturated Fat 7g Carbohydrate 53g Sugar 14g Dietary Fiber 6g Protein 41g Cholesterol 120mg Sodium 840mg,25 Min.,Calorie Smart; Low Added Sugar; Gut & Brain Health,"Allergens: Wheat, Tree Nuts, Soy, Milk",Chicken Stock Concentrate; Toasted Pearl Couscous; Kale; Garlic; Lemon; Roasted Almonds; Chicken Cutlets; Tuscan Heat Spice; Roasted Red Peppers; Honey; Gluten-Free Teriyaki Sauce; Chili Flakes,"For tonight’s dinner, sauce is the boss! Gluten-free teriyaki sauce combines with honey and lemon for a savory-sweet sensation over chicken cutlets. Everything is served over a base of toasted pearl couscous with sautéed kale and roasted red peppers. Almonds sprinkled on at the end add great texture to this quick and easy dish."
greenchef,Honey-Tamari Sesame Beef Bowls,Calories 970kcal Fat 60g Saturated Fat 15g Carbohydrate 73g Sugar 26g Dietary Fiber 4g Protein 31g Cholesterol 100mg Sodium 1890mg,30 Min.,Gluten-free; Dairy Free; Low Added Sugar,"Allergens: Tree Nuts, Sesame, Soy",Jasmine Rice; Scallions; Red Bell Pepper; Ginger-Lime Vinaigrette; Cabbage & Carrots; Ground Beef; Umami Stock Concentrate; Yellow onions & ginger; Gluten-Free Tamari Sauce; Honey; Sriracha Sauce; Black & White Sesame Seeds,"Prepare your appetite for a hearty rice bowl loaded with satisfying flavors and textures. You’ll strike just the right balance of heat, sweet, and umami when you sauté ground beef in a mix of Sriracha, honey, and tamari. Serve the beef over a bowl of fragrant steamed jasmine rice studded with sautéed onions, ginger, and red bell pepper, and top with a refreshingly gingery cabbage and carrot slaw. The final flourish is a garnish of nutty sesame seeds and crisp scallion greens that complete this delicious dish."
greenchef,Tuscan-Spiced Carrot & Buckwheat Bowls,Calories 520kcal Fat 35g Saturated Fat 7g Carbohydrate 69g Sugar 13g Dietary Fiber 14g Protein 16g Cholesterol 35mg Sodium 800mg,30 Min.,Gluten-free; Veggie; Calorie Smart; Low Added Sugar; Gut & Brain Health,Allergens: Milk,Toasted Buckwheat; Umami Stock Concentrate; Rainbow Carrots; Lemon; Heirloom Grape Tomatoes; Sliced Almonds; Tuscan Heat Spice; Ricotta Cheese; Basil Pesto,"Buckwheat is a hearty base for these Tuscan-spiced roasted carrot bowls. The creamy lemon ricotta gives the dish a satisfying richness. There’s also juicy marinated tomatoes, basil pesto, and a sprinkle of crunchy, nutty almonds to complete the meal."
greenchef,Vegan Black Bean Burrito Bowls,Calories 800kcal Fat 38g Saturated Fat 6g Carbohydrate 95g Sugar 9g Dietary Fiber 13g Protein 20g Cholesterol 0mg Sodium 1190mg,10 Min.,Gluten-free; Vegan; Dairy Free; Low Added Sugar,,Microwaveable Rice; Roma Tomatoes; Black Beans; Umami Stock Concentrate; Fajita Spice Blend; Creamy Vegan Chimichurri Sauce; Cabbage; Corn; Guacamole; Pepitas; Cholula Sauce,"Short on time but still craving a warm, satisfying lunch? You’re only 10 minutes away from enjoying this burrito-inspired meal! Hearty black beans seasoned with our fajita spice blend are piled over steamy rice along with a parsley and cilantro chimichurri-dressed cabbage slaw, fresh tomato, and sweet corn. For extra flavor, there’s a dollop of guacamole, crunchy pepitas, and a spicy drizzle of Cholula sauce."
greenchef,Orange-Miso Tofu,Calories 900kcal Fat 53g Saturated Fat 9g Carbohydrate 74g Sugar 21g Dietary Fiber 10g Protein 31g Cholesterol 0mg Sodium 1240mg,35 Min.,Gluten-free; Vegan; Dairy Free; Low Added Sugar,"Allergens: Soy, Tree Nuts, Peanuts, Sesame",Tofu; Ginger-lime peanut sauce; Scallions; White Sesame Seeds; Green Beans; Chard; Jasmine Rice; Carrots; Gluten-Free Tamari Sauce; Orange-Miso Marinade,"Intensely savory and rich in umami, miso is a marinade game-changer. Here, tofu is steeped in orange-miso marinade, pan-seared until golden brown, and then simmered in a creamy ginger-lime peanut sauce for extra depth. The tofu’s served over fluffy jasmine rice with carrots, all paired with a side of sautéed green beans and chard. Sesame seeds add a toasty finish to the dish."
greenchef,Roasted Garlic & Fennel Flatbreads,Calories 790kcal Fat 60g Saturated Fat 11g Carbohydrate 60g Sugar 21g Dietary Fiber 8g Protein 10g Cholesterol 0mg Sodium 1250mg,35 Min.,Vegan; Dairy Free; Low Added Sugar,"Allergens: Tree Nuts, Sesame, Wheat",Coconut Cream With Corn; Fennel; Roma Tomatoes; Pine Nuts; Garlic; Chili Flakes; Artichoke hearts; Kale; Balsamic vinaigrette with olive oil; Carrots; Italian Seasoning; Dried Cranberries; Flatbreads,"Why do our chefs love roasting garlic? The simple process softens the bold allium’s pungent flavor and allows its milder nutty undertones to shine. Here, you’ll mash roasted garlic and fold it in with coconut cream to make a rich, fragrant sauce. It’s slathered over toasty flatbreads and topped with tomato slices, fennel, and artichoke hearts for a creamy, crunchy, juicy blend of textures in every bite."
greenchef,Black Bean Flautas,Calories 1240kcal Fat 85g Saturated Fat 14g Carbohydrate 95g Sugar 14g Dietary Fiber 16g Protein 25g Cholesterol 0mg Sodium 1660mg,30 Min.,Vegan; Dairy Free,Allergens: Wheat,Black Beans; Yellow Onion; Kale; Roma Tomatoes; Corn; Roasted Red Peppers; Orange-Chili Spice Blend; Vegan Chipotle-Lime Aïoli; Flour Tortillas; Guacamole; Pepitas,"Pan-frying the flautas in tonight’s Tex-Mex dinner gives the flour tortillas a crispy golden-brown exterior and delivers a craveable contrast to the silky spiced bean filling. Guacamole—one of our favorite plant-based condiments—is dolloped over the top for cooling creaminess in every bite. A kale salad piled on the side gets pops of sweet-smoky flavor from broiled corn and onion, completing the meal with a nutritious crunch."
greenchef,Roasted Chickpea & Broccoli Bowls,Calories 900kcal Fat 47g Saturated Fat 5g Carbohydrate 96g Sugar 26g Dietary Fiber 16g Protein 25g Cholesterol 0mg Sodium 1760mg,30 Min.,Vegan; Dairy Free; Low Added Sugar,"Allergens: Wheat, Tree Nuts, Sesame, Soy",Umami Stock Concentrate; Toasted Pearl Couscous; Garbanzo Beans (Chickpeas); Broccoli; Tuscan Heat Spice; Scallions; Garlic; Kale; Roasted Almonds; Dates; Grape Tomatoes; Herb miso-tahini sauce,"These delicious chef-designed, vegetarian bowls feature savory couscous, studded with crunchy almonds and sweet dates, garlicky sautéed kale, and grape tomatoes. The vegetables are topped with crispy chickpeas and tender broccoli seasoned with fragrant Italian spices, plus a creamy drizzle of herb miso-tahini sauce to bring all these fresh flavors together into one delicious meal."
greenchef,Maple Butternut Squash Risotto,Calories 790kcal Fat 42g Saturated Fat 18g Carbohydrate 92g Sugar 24g Dietary Fiber 7g Protein 11g Cholesterol 0mg Sodium 730mg,45 Min.,Gluten-free; Vegan; Dairy Free; Low Added Sugar,Allergens: Tree Nuts,"Short-Grain Rice; Yellow Onion; Veggie Stock Concentrate; Garlic; Butternut Squash; Lacinato Kale; Coconut Milk; Maple Syrup; White Wine Vinegar; Pecans; Smoked Paprika; Rosemary, Basil & Sage Blend","This warm risotto is coziness in a bowl. Short-grain rice is cooked with rosemary, basil, and sage for a bit of herbaceousness, then stirred together with lacinato kale. As good as that is (and it is!), the real excitement happens with the toppings: butternut squash roasted with smoked paprika and drizzled with maple syrup, plus a scattering of toasted pecans to complete the comforting meal."
greenchef,Turkish-Style Spiced Chickpea Stew,Calories 830kcal Fat 51g Saturated Fat 14g Carbohydrate 67g Sugar 25g Dietary Fiber 13g Protein 21g Cholesterol 55mg Sodium 1880mg,30 Min.,Gluten-free; Veggie; Low Added Sugar,"Allergens: Milk, Tree Nuts",Garbanzo Beans (Chickpeas); Turkish Spice Blend; Summer Squash; Yellow Onion; Paprika-Turmeric Tomato Sauce; Veggie Stock Concentrate; Cilantro; Chili Flakes; Lemon; Feta Cheese; Sliced Almonds; Sour Cream,"Chickpeas and a Turkish-style blend of spices (think cumin, coriander, and allspice) go hand in hand, just like apples and cinnamon or tomatoes and basil. In tonight’s veg-forward dinner, you’ll simmer those spiced chickpeas with sautéed onion and summer squash, along with a flavorful, tomato-spiked broth. For even more texture, each serving gets a topping of crunchy almond gremolata with cilantro and lemon juice. A sprinkle of chili flakes brings the heat, while feta and lemon crema introduce a cooling contrast to each spicy spoonful."
greenchef,Middle Eastern-Style Chickpea Bowls,Calories 950kcal Fat 46g Saturated Fat 13g Carbohydrate 102g Sugar 21g Dietary Fiber 14g Protein 25g Cholesterol 45mg Sodium 1460mg,30 Min.,Gluten-free; Veggie; Low Added Sugar,"Allergens: Tree Nuts, Milk",Basmati Rice; Veggie Stock Concentrate; Rainbow Carrots; Garbanzo Beans (Chickpeas); Pistachios; Scallions; Turkish Spice Blend; Roasted Red Peppers; Turmeric; Cardamom-spiced Greek yogurt; Feta Cheese,"In these vibrant bowls, chickpeas are seasoned with our Turkish-style spices, then cooked with roasted red peppers until lightly browned for layers of toasty flavor. They’re piled over buttery pistachio turmeric rice along with tender roasted rainbow carrots. Each bowl gets a drizzle of cooling cardamom-spiced Greek yogurt and a shower of feta and sliced scallion. If you’ve got some herbs on hand, sprinkle a bit of chopped fresh parsley or cilantro on top for a colorful and flavorful garnish."
greenchef,Greek Salad Flatbreads,Calories 840kcal Fat 57g Saturated Fat 16g Carbohydrate 65g Sugar 18g Dietary Fiber 9g Protein 24g Cholesterol 70mg Sodium 1330mg,30 Min.,Veggie; Low Added Sugar,"Allergens: Sesame, Wheat, Milk",Flatbreads; Hummus; Feta Cheese; Red Onion; Roma Tomatoes; Kalamata Olives; Mozzarella Cheese; Lacinato Kale; Roasted Red Peppers; Dates; Sour cream with lemon & dill; Italian Seasoning,"Bread is the only thing that’s flat in this dish. Everything piled on top is exciting and full of flavor. The flatbreads are spread with hummus that’s jazzed up with dates and Italian herbs and spices. Then they’re topped with caramelized veggies, melty mozzarella, and briny feta cheese. For a healthy dose of freshness, Greek kale salad is piled on top. The final touch is a drizzle of lemon-dill sour cream."
greenchef,Herbed Beef Tenderloin with Truffle Cream,Calories 650kcal Fat 34g Saturated Fat 18g Carbohydrate 51g Sugar 13g Dietary Fiber 9g Protein 36g Cholesterol 145mg Sodium 770mg,35 Min.,Gluten-free; Calorie Smart; Low Added Sugar,Allergens: Milk,Yellow Potatoes; Carrots; Italian Seasoning; Garlic; Scallions; Parsley; Beef Tenderloin; Mushroom Stock Concentrate; Cream Cheese; Sour Cream; Truffle Seasoning,"Truffle cream not only dresses up tonight’s dish, it’ll make you want to get dressed up like you’re headed to a 5-star restaurant. The luxurious sauce is made in the same pan used to sear beef tenderloin, for a rich meaty base, and flavored with fragrant garlic, creamy mushroom broth, truffle seasoning, and butter. The succulent beef is draped with truffle cream and served with decadent scallion mashed potatoes and roasted carrots with fresh parsley."
greenchef,Cheesy Artichoke Sandwiches,Calories 720kcal Fat 37g Saturated Fat 13g Carbohydrate 70g Sugar 17g Dietary Fiber 6g Protein 23g Cholesterol 55mg Sodium 1340mg,10 Min.,Veggie; Low Added Sugar,"Allergens: Wheat, Soy, Milk, Tree Nuts",Artichoke hearts; Ciabatta Bread; Kale; Cream Cheese; Parmesan Cheese; Mozzarella Cheese; Italian Seasoning; Basil pistou; Pecans; Dried Cranberries,"This elevated grilled cheese will have everyone around you eyeing your lunch. Packed into ciabattas is a mix of artichokes with cream cheese, Parmesan, and mozzarella. The filling is warmed in the microwave until it becomes melty, spread onto ciabatta, then drizzled with basil pistou for an herbaceous touch. A kale salad gets tossed with more of the basil sauce, pecans, and dried cranberries to complete the meal."
greenchef,Chicken with Lemon Crema,Calories 760kcal Fat 39g Saturated Fat 11g Carbohydrate 64g Sugar 15g Dietary Fiber 5g Protein 41g Cholesterol 135mg Sodium 440mg,30 Min.,Gluten-free; Sodium Smart; Low Added Sugar,"Allergens: Tree Nuts, Milk",Scallions; Jasmine Rice; Broccoli; Lemon; Roasted Almonds; Chicken Cutlets; Tuscan Heat Spice; Sour Cream; Raisins,"Lemon crema adds bright and rich flavors to tonight’s 30-minute chicken dinner. The craveable crema is drizzled over juicy roasted chicken cutlets seasoned with our savory Tuscan heat spice blend. It’s all served on a bed of rice pilaf, made here with jasmine rice, sweet raisins, crunchy almonds, and fresh scallion. Sautéed broccoli offers a pop of color and earthy flavors on the side."
greenchef,Cranberry BBQ Turkey Burgers,Calories 1080kcal Fat 59g Saturated Fat 16g Carbohydrate 102g Sugar 39g Dietary Fiber 8g Protein 36g Cholesterol 130mg Sodium 1380mg,30 Min.,,"Allergens: Wheat, Milk",Dried Cranberries; Yellow Potatoes; Cabbage & Carrots; Scallions; Creamy Vegan Chimichurri Sauce; Brioche Buns; Ground Turkey; Ancho-Cumin Spice Blend; Mild Barbecue Sauce,"Sweet meets tangy for the cranberry barbecue sauce on tonight’s ancho-spiced turkey burgers. These saucy patties are nestled into toasted brioche buns and served with roasted potato wedges and a fresh, creamy chimichurri slaw (think cabbage, carrots, parsley, and cilantro). Can’t get enough of that zingy barbecue sauce? Use your potato wedges to swipe up any extra deliciousness."
greenchef,Trattoria Chicken & Pan-Seared Polenta,Calories 630kcal Fat 43g Saturated Fat 14g Carbohydrate 24g Sugar 4g Dietary Fiber 4g Protein 38g Cholesterol 145mg Sodium 1600mg,25 Min.,Gluten-free; Keto; Calorie Smart; Low Added Sugar; Carb Smart,"Allergens: Tree Nuts, Milk",Broccoli; Pre-Cooked Polenta; Chicken Cutlets; Tuscan Heat Spice; Tomato Cream Sauce; Cream Cheese; Chili Flakes,"We’re channeling the flavors of your favorite local Italian restaurant with a delicious meal of chicken cutlets seasoned with our Tuscan heat spice (a blend of herbs and red pepper flakes), cooked to juicy perfection, and topped with a spicy, creamy tomato sauce. They’re served alongside savory pan-seared polenta rounds cooked in butter until crispy around the edges, as well as tender roasted broccoli florets."
greenchef,Tamari Turkey & Broccoli Bowls,Calories 550kcal Fat 16g Saturated Fat 4g Carbohydrate 63g Sugar 17g Dietary Fiber 5g Protein 36g Cholesterol 100mg Sodium 1450mg,25 Min.,Gluten-free; Dairy Free; Low Added Sugar,"Allergens: Soy, Sesame",Jasmine Rice; Umami Stock Concentrate; Broccoli; Snap Peas; Scallions; Cabbage & Carrots; Ground Turkey; Agave; Sriracha Sauce; Gluten-Free Tamari Sauce; Black & White Sesame Seeds,"Just 25 minutes is all it takes to start savoring these better-than-takeout bowls. Fragrant umami jasmine rice is topped with a vibrant stir-fry of broccoli, snap peas, cabbage, and carrots. Piled atop the veggies is ground turkey simmered in a sauce made with tamari, agave, and Sriracha for sweet and spicy flavors in every bite. The bowls are finished with scallion greens and sesame seeds for a satisfying crunch."
greenchef,Creamy Chicken Alfredo,Calories 740kcal Fat 54g Saturated Fat 24g Carbohydrate 25g Sugar 10g Dietary Fiber 6g Protein 39g Cholesterol 210mg Sodium 940mg,35 Min.,Gluten-free; Keto; Low Added Sugar; Carb Smart,Allergens: Milk,Chicken Cutlets; Peas; Spaghetti Squash; Cream Cheese; Creamy Mushroom Broth; Italian Seasoning; Parmesan Cheese,"Our chefs took all of the creamy comfort of chicken Alfredo for this gluten-free dish you’ll love. In lieu of traditional carb-loaded noodles, tender roasted spaghetti squash, seasoned with Italian herbs, is tossed in a rich homemade sauce strewn with peas and Parmesan. Juicy chicken cutlets are fanned over the top for a savory, filling finish."
greenchef,Baja Chicken Bowls with Mango Salsa,Calories 680kcal Fat 28g Saturated Fat 5g Carbohydrate 66g Sugar 14g Dietary Fiber 6g Protein 41g Cholesterol 115mg Sodium 730mg,25 Min.,Gluten-free; Low Added Sugar; Gut & Brain Health,Allergens: Milk,"Jasmine Rice; Mangos; Roma Tomatoes; Lime; Sour Cream; Chimichurri sauce with olive oil; Chopped Chicken Breast; Cumin, Coriander & Oregano; Chicken Stock Concentrate; Corn; Roasted Red Peppers; Pepitas","Get ready to savor these simple yet satisfying bowls loaded with bright, fresh flavors. Hearty corn and roasted red pepper rice serves as a base for juicy chopped chicken breast seasoned with a cumin, coriander, and oregano blend. For a tropical flourish, a mango and tomato salsa is spooned over the top, followed by a drizzle of creamy chimichurri sauce and a handful of crunchy pepitas."
greenchef,Prosciutto & Fig Cheesy Melts,Calories 820kcal Fat 47g Saturated Fat 18g Carbohydrate 60g Sugar 15g Dietary Fiber 4g Protein 32g Cholesterol 90mg Sodium 1750mg,10 Min.,Low Added Sugar,"Allergens: Milk, Soy, Wheat, Tree Nuts",Kale; Scallions; Crème Fraîche; Dijon Mustard; Sourdough Bread; Prosciutto; Swiss Cheese; Fig Jam; White Cheddar Cheese; Balsamic vinaigrette with olive oil; Sliced Almonds,"Simple and indulgent, these craveable, extra-cheesy melts come together in minutes. Sourdough slices are generously spread with a tangy Dijon cream sauce and sweet fig jam, then filled with prosciutto, Swiss cheese, and white cheddar. They’re sizzled to golden-brown perfection in a hot pan until the cheese is ooey gooey. A kale salad with almonds and scallion, tossed in a balsamic vinaigrette, provides a nice counterbalance to the rich sandwich."
greenchef,Steak & Shrimp with Creamy Chive Sauce,Calories 980kcal Fat 75g Saturated Fat 25g Carbohydrate 24g Sugar 9g Dietary Fiber 4g Protein 55g Cholesterol 340mg Sodium 1710mg,40 Min.,Gluten-free; Keto; Low Added Sugar; Carb Smart,"Allergens: Shellfish, Milk, Tree Nuts, Fish",Bavette Steaks; Shrimp; Broccoli; Butternut Squash; Cream Cheese; Sharp Cheddar Cheese; Chives; Worcestershire Sauce,"Surf ’n’ turf meets comfort food in this inventive, colorful twist on a steakhouse classic. Season bavette steaks and shrimp with salt and pepper, then sear separately to crispy perfection and top both with a creamy chive sauce enriched with a keto-friendly Worcestershire sauce and a tangy swirl of cream cheese. Two stellar sides accompany these saucy stars of land and sea: tender roasted broccoli and savory mashed butternut squash with sharp cheddar cheese."
greenchef,Southwest-Spiced Salmon with Mango Salsa,Calories 810kcal Fat 42g Saturated Fat 7g Carbohydrate 59g Sugar 13g Dietary Fiber 12g Protein 45g Cholesterol 100mg Sodium 1060mg,30 Min.,Gluten-free; Low Added Sugar; Gut & Brain Health,"Allergens: Fish, Milk","Black Beans; Roma Tomatoes; Mangos; Sweet Potatoes; Mushroom Stock Concentrate; Cumin, Coriander & Oregano; Creamy Vegan Chimichurri Sauce; Salmon; Cotija Cheese; Cholula Sauce","Crispy, roasted black beans and sweet potatoes—seasoned with spices like cumin and coriander—are the perfect side for flaky, seared salmon fillets in this Southwest-inspired dish. A fresh mango-tomato salsa offers a touch of sweetness, while a sprinkle of cotija cheese rounds out the meal with a savory finish."
greenchef,Beef Enchiladas,Calories 1100kcal Fat 72g Saturated Fat 27g Carbohydrate 65g Sugar 17g Dietary Fiber 5g Protein 44g Cholesterol 160mg Sodium 1980mg,35 Min.,Low Added Sugar,"Allergens: Milk, Wheat, Tree Nuts",Ground Beef; Corn; Pepitas; Monterey Jack Cheese; Flour Tortillas; Sour Cream; Spiced Enchilada Sauce; Fajita Spice Blend; Yellow Onion,"Saucy, smothered, and hearty: These enchiladas are a guaranteed dinnertime hit. You’ll make them by wrapping flour tortillas around a filling of Southwestern spiced beef and corn, then topping the bundles with spiced enchilada sauce, Monterey Jack cheese, and crunchy pepitas. A trip in the oven turns the whole thing hot and bubbly, while allowing all the flavors to meld. When you’re ready to serve, all you have to do is spoon some tangy spiced crema over the top and dig in. If you’re looking for a bit of heat, add a dash of your favorite hot sauce."
